subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_42,17.413439221,862,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_91,46.084851577,286,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_41,93.415422328,691,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_9,156.06492130700002,350,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_65,192.81529430400002,328,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_50,209.87058961500003,173,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_1,205.679667061,459,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_70,179.429617706,174,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_15,156.99474647599996,292,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_78,154.59052626199997,377,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_73,144.22935962499997,43,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_10,149.86806804499997,790,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_55,162.46106097400002,224,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_56,165.259515858,681,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_72,178.382591699,57,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_45,166.943599178,150,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_48,150.55140756999992,212,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_92,122.76322037,359,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_76,94.457352517,198,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_37,84.16605827700005,214,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_30,79.68977011000015,299,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_unspecified,abstract_algebra_21,84.76288820500008,98,1.0,
