subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_42,6.123220482,159,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_9,18.172915182,43,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_41,34.439322777,99,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_91,53.217966642,37,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_65,60.972062435999995,59,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_50,59.679162664,33,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_1,59.266226859,156,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_70,59.752029510999996,72,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_15,66.42114700500001,154,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_78,76.517517402,61,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_73,74.23247515700001,29,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_10,73.561818148,364,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_55,71.65783426799999,8,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_56,71.877590037,148,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_72,80.94650805799998,30,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_45,76.01167296,101,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_48,70.67012895299999,32,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_92,61.063013915,75,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_76,53.82814714700001,141,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_37,58.870648028000005,114,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_30,66.50953811700003,87,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_21,76.15015948900003,41,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_32,74.85864554600005,9,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_96,68.63831901800006,29,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_80,59.727340807000076,75,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_49,51.733671522000066,59,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_83,53.09594122100003,156,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_26,55.452522965000014,58,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_87,56.670395617999986,21,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_33,56.75156954199997,51,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_8,56.056797302999996,45,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_47,61.98635430600001,105,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_59,70.52896380300007,26,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_63,78.32593823300004,135,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_74,82.15357588500001,100,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_44,75.60511997100002,35,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_98,68.98063000799993,35,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_52,61.87325381599999,72,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_85,58.958219955000004,67,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_12,60.00254640000003,100,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_36,58.48476098800006,27,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_23,56.132323421000024,21,1.0,
